Sensor Name,entity id,entity,Upper Critical,Upper Non-Critical,Lower Non-Critical,Lower Critical
CPU1_NBM_T,0x3,50,85,80,NA,NA
BRICK1_P12V_T,0xE,7,113.8,93.8,NA,NA
BRICK2_P12V_T,0xE,8,113.8,93.8,NA,NA
BRICK2_P12V_T,0xE,8,113.8,93.8,NA,NA
Temp_NAND (cssD),,,,,,
MB_Outlet_AVE,0x7,,50,,,
Watchdog2,0x23,0,,,,
CPU0_VCORE0_IOUT,0x3,51,276,241.5,na,na
CPU0_VSOC_IOUT,0x3,52,156,136.5,na,na
CPU0_VCORE1_IOUT,0x3,53,276,241.5,na,na
CPU0_P1V1_IOUT,0x3,54,96,84,na,na
CPU0_P3V3_IOUT,0x3,55,3.6,3.15,na,na
CPU0_VDDIO_IOUT,0x3,56,168,147,na,na
CPU0_P1V8_IOUT,0x3,57,14.4,12.6,na,na
CPU1_VCORE0_IOUT,0x3,58,276,241.5,na,na
CPU1_VSOC_IOUT,0x3,59,156,136.5,na,na
CPU1_VCORE1_IOUT,0x3,60,276,241.5,na,na
CPU1_P1V1_IOUT,0x3,61,96,84,na,na
CPU1_P3V3_IOUT,0x3,62,3.6,3.15,na,na
CPU1_VDDIO_IOUT,0x3,63,168,147,na,na
CPU1_P1V8_IOUT,0x3,64,14.4,12.6,na,na
MAIN_P3V3_IOUT,0x7,8,34.9,31.9,na,na
BRICK1_P12V_IOUT,0xE,9,115,75.6,na,na
BRICK2_P12V_IOUT,0xE,10,115,75.6,na,na
BRICK2_P12V_IOUT,0xE,10,115,75.6,na,na
P48V_IOUT,0xE,11,73,52.5,na,na
