fan3 tach        | 3621.000   | RPM        | ok    | na        | 994.000   | 1988.000  | 18105.000 | 18105.000 | na        
fan4 tach        | 9120.000   | RPM        | ok    | na        | 1026.000  | 2052.000  | 27474.000 | 27474.000 | na        
fan5 tach        | 9120.000   | RPM        | ok    | na        | 1026.000  | 2052.000  | 27474.000 | 27474.000 | na        
CPU0 P1V1 POUT   | 8.980      | Watts      | ok    | na        | na        | na        | na        | 105.515   | na        
CPU0 P1V8 POUT   | 8.001      | Watts      | ok    | na        | na        | na        | 22.733    | 25.908    | na        
CPU0 P3V3 POUT   | 0.000      | Watts      | ok    | na        | na        | na        | 10.400    | 11.856    | na        
CPU0 VCORE0 POUT | 0.000      | Watts      | ok    | na        | na        | na        | 363.000   | 414.150   | na        
CPU0 VCORE1 POUT | 0.000      | Watts      | ok    | na        | na        | na        | 363.000   | 414.150   | na        
CPU0 VDDIO POUT  | 27.060     | Watts      | ok    | na        | na        | na        | 176.300   | 201.720   | na        
CPU0 VSOC POUT   | 56.160     | Watts      | ok    | na        | na        | na        | 163.800   | 187.200   | na        
CPU1 P1V1 POUT   | 10.776     | Watts      | ok    | na        | na        | na        | 92.494    | 105.515   | na        
CPU1 P1V8 POUT   | 5.969      | Watts      | ok    | na        | na        | na        | 22.733    | 25.908    | na        
CPU1 P3V3 POUT   | 0.000      | Watts      | ok    | na        | na        | na        | 10.400    | 11.856    | na        
CPU1 VCORE0 POUT | 0.000      | Watts      | ok    | na        | na        | na        | 363.000   | 414.150   | na        
CPU1 VCORE1 POUT | 0.000      | Watts      | ok    | na        | na        | na        | 363.000   | 414.150   | na        
CPU1 VDDIO POUT  | 18.860     | Watts      | ok    | na        | na        | na        | 176.300   | 201.720   | na        
CPU1 VSOC POUT   | 52.260     | Watts      | ok    | na        | na        | na        | 163.800   | 187.200   | na        
HOTSWAP PIN      | 389.400    | Watts      | ok    | na        | na        | na        | na        | na        | na        
BRICK1 P12V T    | 32.000     | degrees C  | ok    | na        | na        | na        | 94.000    | 114.000   | na        
BRICK2 P12V T    | 31.000     | degrees C  | ok    | na        | na        | na        | 94.000    | 114.000   | na        
CPU0 DIMM 0 T    | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
CPU0 DIMM 1 T    | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
CPU0 NBM T       | na         | degrees C  | na    | na        | na        | na        | 80.000    | 85.000    | na        
CPU0 P1V1 T      | 37.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU0 P1V8 T      | 39.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU0 P3V3 T      | 38.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU0 T           | 55.000     | degrees C  | ok    | na        | na        | na        | 92.000    | 95.000    | na        
CPU0 VCORE0 T    | 42.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU0 VCORE1 T    | 36.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU0 VIO T       | 40.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU0 VSOC T      | 44.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 DIMM 0 T    | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
CPU1 DIMM 1 T    | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
CPU1 NBM T       | na         | degrees C  | na    | na        | na        | na        | 80.000    | 85.000    | na        
CPU1 P1V1 T      | 37.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 P1V8 T      | 38.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 P3V3 T      | 35.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 T           | 57.000     | degrees C  | ok    | na        | na        | na        | 92.000    | 95.000    | na        
